"region","city","lat","lng","total_2016","median_income","percent_pop_aian","percent_pop_change","percent_pop_poverty","comm_pcnt_initial","comm_age_change_1980_2016","subs_year","subs_percent_households_harvesting","subs_percent_households_using","subs_lbs_per_capita_harvest","pu_lbs_harvested","pu_lbs_per_capita","sport_license_per_capita"
"Bristol Bay","Togiak",59.0619444,-160.3763889,771,43333,0.892347600518807,0.640425531914894,0.263294422827497,0.260869565217391,11,2008,86.3,96.3,106.0464,NA,NA,0.439688715953307
"Yukon","Tok",63.3366667,-142.9855556,1239,59018,0.25181598062954,1.10356536502547,0.188861985472155,0,-4.5,2011,45.07042,69.01408,51.31817,1328,1.07183212267958,0.497175141242938
"Kuskokwim","Toksook Bay",60.5337752,-165.1036627,503,53750,0.958250497017893,0.510510510510511,0.188866799204771,0.125,18.5,NA,NA,NA,NA,0,0,0.25844930417495
"Copper River","Tolsona",62.0838889,-146.0702778,0,NA,NA,NA,NA,NA,NA,2013,50,87.5,127.521,NA,NA,NA
"Copper River","Tonsina",61.6558333,-145.1752778,14,NA,0,-0.896296296296296,0,NA,NA,2013,52.1,86.9,101.7588,NA,NA,NA
"Cook Inlet","Trapper Creek",62.3166667,-150.2313889,349,22300,0.131805157593123,NA,0.286532951289398,5,34,2012,45.5,82.3,24.95887,1570.71,4.50060171919771,0.498567335243553
"Kuskokwim","Tuluksak",61.1025,-160.9616667,431,24625,0.916473317865429,0.826271186440678,0.654292343387471,-0.117647058823529,9,2010,77.94118,95.58823,173.0255,NA,NA,0.0556844547563805
"Kuskokwim","Tuntutuliak",60.3430556,-162.6630556,447,35208,1,1.06944444444444,0.371364653243848,0.222222222222222,12,2013,62.7,98.5,137.9156,40.62,0.0908724832214765,0.252796420581655
"Kuskokwim","Tununak",60.5855556,-165.2558333,315,33333,0.971428571428571,0.0570469798657718,0.346031746031746,-0.714285714285714,-1,1986,93.9,100,113.8,NA,NA,0.13968253968254
"Bristol Bay","Twin Hills",59.0791667,-160.275,74,31250,0.986486486486487,0.0571428571428571,0.216216216216216,-0.454545454545455,-1.5,1999,91.7,100,172,NA,NA,0.135135135135135
"Yukon","Two Rivers",64.8722222,-147.0383333,343,65870,0.256559766763848,-0.0445682451253482,0.139941690962099,1,NA,NA,NA,NA,NA,1084.3,3.16122448979592,0.402332361516035
"Cook Inlet","Tyonek",61.0680556,-151.1369444,293,36750,0.873720136518771,0.225941422594142,0.228668941979522,-0.483870967741935,11.5,2013,81.63265,89.79592,117.4757,NA,NA,0.10580204778157
"Bristol Bay","Ugashik",57.5130556,-157.3975,14,54583,0.642857142857143,NA,0,-0.6,38.5,2014,100,100,787.476,NA,NA,0.214285714285714
"Norton Sound","Unalakleet",63.8730556,-160.7880556,696,64583,0.793103448275862,0.117174959871589,0.156609195402299,0.0735294117647059,9,2006,80.1,95.2,264.0692,331.92,0.476896551724138,0.278735632183908
"Alaska Peninsula and Aleutian Islands","Unalaska",53.8736111,-166.5366667,4710,92083,0.0581740976645435,2.56278366111952,0.0645435244161359,6,10,1994,67.1,91.9,53.8,81.16,0.0172314225053079,0.0562632696390658
"Kuskokwim","Upper Kalskag",NA,NA,264,37500,0.893939393939394,1.04651162790698,0.185606060606061,-0.5,3,2009,77.08334,95.83334,198.8035,75.47,0.285871212121212,NA
"Prince William Sound","Valdez",61.1308333,-146.3483333,3930,80357,0.125954198473282,0.276388437804482,0.0684478371501272,-0.0434782608695652,15,1993,57.1,65.7,22.61,11792.15,3.00054707379135,0.484732824427481
"Yukon","Venetie",67.0138889,-146.4186111,171,27813,0.988304093567251,0.295454545454545,0.532163742690059,NA,NA,NA,NA,NA,NA,NA,NA,0.0233918128654971
"Arctic","Wainwright",70.6369444,-160.0383333,488,51563,0.983606557377049,0.204938271604938,0.163934426229508,NA,NA,1989,7,NA,2.23,NA,NA,0.0266393442622951
"Kotzebue","Wales",65.6091667,-168.0875,166,33125,0.987951807228916,0.24812030075188,0.367469879518072,NA,NA,2006,56.4,92.3,88.41515,NA,NA,0.036144578313253
"Cook Inlet","Wasilla",61.5813889,-149.4394444,8972,61774,0.122269282211324,4.75497113534317,0.125724476148016,11.4615384615385,3.5,NA,NA,NA,NA,230113.4,25.6479491752118,2.42822113241195
"Southeast","Whale Pass",56.1152778,-133.1208333,0,NA,NA,NA,NA,NA,NA,2012,57.1,95.2,51.9,NA,NA,Inf
"Norton Sound","White Mountain",64.6813889,-163.4055556,168,34375,0.916666666666667,0.344,0.25,-1,NA,2006,87.2,92.7,145.5606,NA,NA,0.0892857142857143
"Yukon","Whitestone",NA,NA,231,NA,0,NA,0.051948051948052,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Whitestone Logging Camp",58.0711111,-135.4297222,0,NA,NA,NA,NA,NA,NA,1996,83.3,83.3,20.83,NA,NA,NA
"Prince William Sound","Whittier",60.7730556,-148.6838889,318,47813,0.141509433962264,0.606060606060606,0.119496855345912,0.5,24,1990,53.6,77,33.87,449.12,1.41232704402516,0.264150943396226
"Cook Inlet","Willow",61.7472222,-150.0375,2081,53958,0.094666025949063,13.9712230215827,0.156174915905815,0.25,17.5,NA,NA,NA,NA,11394.06,5.47528111484863,0.518981259010091
"Copper River","Willow Creek",61.8197222,-145.2122222,13,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Wiseman",67.41,-150.1075,12,NA,0,NA,0,1,36,2011,20,100,11.62938,0,0,0.833333333333333
"Kodiak","Womens Bay",57.6822222,-152.6686111,923,69866,0.152762730227519,NA,0.121343445287107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southeast","Wrangell",56.4708333,-132.3766667,2401,52986,0.273635985006247,0.0993589743589744,0.0987088713036235,0.239130434782609,9,2000,45.91837,80.61224,25.53508,247.11,0.102919616826322,0.566430653894211
"Southeast","Yakutat",59.5469444,-139.7272222,618,66875,0.448220064724919,0.376391982182628,0.0825242718446602,0.404580152671756,20.5,2015,74.3,94.1,92.60751,NA,NA,0.475728155339806
